well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean
159226099,4224,5,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",155893085,94,79,72,-2.78613122493829,16.3346536040285,27.699125520602102,15697,4221.0,CTX,"cingulate gyrus, frontal part"
157772868,4024,3,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",155781930,110,55,47,-16.2019006836321,41.25607032756629,51.198454905720006,15697,4021.0,CTX,superior frontal gyrus
157772849,4023,2,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",155738139,101,74,36,-4.79213117013002,54.01314694596729,33.9197685374425,15697,4021.0,CTX,superior frontal gyrus
158402980,4723,63,CB,PV-Crus I,"Crus I, left, paravermis",156428337,103,124,188,-12.932652929130098,-88.05894294905609,-23.8659549360548,15697,,,
158402964,4722,63,CB,PV-VI,"VI, left, paravermis",156428326,103,121,170,-16.2303064567433,-69.3881532646324,-14.713179507383805,15697,,,
158402902,4727,63,CB,PV-VIIIB,"VIIIB, left, paravermis",156512560,103,163,158,-13.6511070999322,-62.9875825270152,-50.615741299853,15697,,,
158403024,4743,62,CB,He-VIIIB,"VIIIB, left, lateral hemisphere",156515261,119,163,136,-28.2808797221955,-41.0843285083207,-54.989192250954105,15697,,,
158402978,4742,62,CB,He-VIIIA,"VIIIA, left, lateral hemisphere",156518379,119,169,158,-28.370629258971896,-67.46470583760029,-57.2221886067418,15697,,,
158402962,4741,62,CB,He-VIIB,"VIIB, left, lateral hemisphere",156518370,119,163,167,-28.9613876997512,-76.5678788445463,-51.9978796434773,15697,,,
158402946,4740,62,CB,He-Crus II,"Crus II, left, lateral hemisphere",156518347,119,152,179,-29.282793247571306,-86.66673902265791,-40.0953182164967,15697,,,
158402930,4739,62,CB,He-Crus I,"Crus I, left, lateral hemisphere",156518346,119,143,183,-29.0128134212667,-87.2781646329061,-30.95434574703511,15697,,,
158402882,4740,62,CB,He-Crus II,"Crus II, left, lateral hemisphere",156518342,119,151,179,-29.388874870098,-86.5081785337574,-39.0625866800244,15697,,,
158402852,4738,62,CB,He-VI,"VI, left, lateral hemisphere",156517952,119,133,158,-28.7662687199567,-60.755530771654215,-20.8059358811599,15697,,,
158403010,4738,62,CB,He-VI,"VI, left, lateral hemisphere",156517951,119,133,159,-28.946427542291,-61.5423897253547,-20.632654346083697,15697,,,
158402958,4738,61,CB,He-VI,"VI, left, lateral hemisphere",156553100,128,136,145,-36.22030104242,-51.271777145661495,-25.3643428880235,15697,,,
158402880,4739,61,CB,He-Crus I,"Crus I, left, lateral hemisphere",156560176,128,139,178,-37.88615875014271,-82.1385551838907,-24.3209194806134,15697,,,
158158257,4120,13,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",157026121,101,68,169,-8.4796810438756,-77.6023529327198,40.0185888790199,15697,4118.0,CTX,precuneus
158158305,4099,13,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",157064999,124,87,168,-26.7837844126748,-76.8391694403985,21.736269375227,15697,4096.0,CTX,superior parietal lobule
158402926,4208,13,CX,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",157026186,135,131,166,-43.453595761447296,-70.996059665216,-15.369976437783,15697,4205.0,CTX,inferior occipital gyrus
158402894,4194,13,CX,LiG-str,"lingual gyrus, left, striate",157058084,105,101,167,-13.1141777725471,-68.816745286124,2.7296954430427003,15697,4191.0,CTX,lingual gyrus
158158255,4113,12,CX,AnG-s,"angular gyrus, left, superior bank of gyrus",157020734,120,57,155,-26.501708805464894,-64.1810805886143,52.1417496313585,15697,4111.0,CTX,angular gyrus
158158319,4193,12,CX,LiG-pest,"lingual gyrus, left, peristriate",157019431,111,122,155,-19.1989115002676,-57.9400487762754,-11.214839396159697,15697,4191.0,CTX,lingual gyrus
158158367,4207,12,CX,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",157016700,152,95,155,-58.0721038377755,-66.56956671482,15.374119180971,15697,4205.0,CTX,inferior occipital gyrus
158158379,4113,11,CX,AnG-s,"angular gyrus, left, superior bank of gyrus",156991103,134,59,146,-40.0336174651169,-55.8482894329292,50.8525995753558,15697,4111.0,CTX,angular gyrus
158158221,4230,11,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",156994262,96,85,146,-3.8198658200774505,-51.3755152492103,21.7047241612148,15697,4228.0,CTX,"cingulate gyrus, parietal part"
